source_text;ipa
kammbiije;k a m m b iː ɟ e
kammbulam;k a m m b u l a m
kammu;k a m m u
kamnanoowo;k a m n a n oː w o
kanaa;k a n aː
Kanaana;k a n aː n a
Kanaanankeejo;k a n aː n a n k eː ɟ o
Kanaanankoore;k a n aː n a n k oː r e
kandeeje;k a n d eː ɟ e
kandidaa;k a n d i d aː
kanɗi;k a n ɗ i
kankanngel;k a n k a n ŋ ɡ e l
kankarawal;k a n k a r a w a l
kanko;k a n k o
kannaaje;k a n n aː ɟ e
kanndi;k a n n d i
kanngeere;k a n ŋ ɡ eː r e
kanŋe;k a n ŋ e
kantaade;k a n t aː d e
kaŋ;k a ŋ
kaŋŋe;k a ŋ ŋ e
kap;k a p
kapotti;k a p o t t i
karahan;k a r a h a n
karammbammba;k a r a m m b a m m b a
karanji;k a r a n ɟ i
karansambaajo;k a r a n s a m b aː ɟ o
karantiihi;k a r a n t iː h i
karaw;k a r a w
karawal;k a r a w a l
karbajuruwol;k a r b a ɟ u r u w o l
kardanti;k a r d a n t i
karfee;k a r f eː
karfeeje;k a r f eː ɟ e
karfeeje haala;k a r f eː ɟ e   h aː l a
karfeeje konngol;k a r f eː ɟ e   k o n ŋ ɡ o l
karja;k a r ɟ a
karlol;k a r l o l
karnee;k a r n eː
karotti;k a r o t t i
karti;k a r t i
kartudi;k a r t u d i
kasaaɗo;k a s aː ɗ o
kasanke;k a s a n k e
kaseede;k a s eː d e
kaseede duuɓi keewɗi;k a s eː d e   d uː ɓ i   k eː w ɗ i
kaseede faa e bada;k a s eː d e   f aː   e   b a d a
kasen;k a s e n
kaserol;k a s e r o l
kasu;k a s u
kasu faa e bada;k a s u   f aː   e   b a d a
kasude;k a s u d e
kasugol;k a s u ɡ o l
kasuujo;k a s uː ɟ o
kataare;k a t aː r e
kati;k a t i
katin;k a t i n
katinginɗo;k a t i ŋ ɡ i n ɗ o
katondirol;k a t o n d i r o l
kattuba;k a t t u b a
kawgu;k a w ɡ u
kawjiiɗo;k a w ɟ iː ɗ o
kawjo;k a w ɟ o
kawol;k a w o l
kawral1;k a w r a l 1
kawral2;k a w r a l 2
kawral3;k a w r a l 3
kawral golle wakkatiyal;k a w r a l   ɡ o l l e   w a k k a t i j a l
kawrital;k a w r i t a l
kawrital leyɗe afirikki;k a w r i t a l   l e j ɗ e   a f i r i k k i
kawrital partii kuuɓungal;k a w r i t a l   p a r t iː   k uː ɓ u ŋ ɡ a l
kawtaaɗo ley winndugo dewtere;k a w t aː ɗ o   l e j   w i n n d u ɡ o   d e w t e r e
kawtal;k a w t a l
kawteteeɗo;k a w t e t eː ɗ o
kawtiiwo;k a w t iː w o
kawtirɗo laawi kawtal;k a w t i r ɗ o   l aː w i   k a w t a l
kawto golloowo;k a w t o   ɡ o l l oː w o
kawto mo darja;k a w t o   m o   d a r ɟ a
kay;k a j
kaye;k a j e
kayee;k a j eː
kayeejo;k a j eː ɟ o
Kayiinu;k a j iː n u
kayitol;k a j i t o l
kayitol kaalis;k a j i t o l   k aː l i s
kaykayo;k a j k a j o
kayŋ;k a j ŋ
kayto;k a j t o
kayye;k a j j e
ke;k e
kebbe;k e b b e
kebbe-baali;k e b b e - b aː l i
keɓa ley gollal;k e ɓ a   l e j   ɡ o l l a l
keɓa ley leɗɗe;k e ɓ a   l e j   l e ɗ ɗ e
keɓaa;k e ɓ aː
keɓal;k e ɓ a l
keɓal ley daabaaji;k e ɓ a l   l e j   d aː b aː ɟ i
keɓɗo;k e ɓ ɗ o
kecco-ɓeernde;k e c c o - ɓ eː r n d e
keccol;k e c c o l
keccoraaku;k e c c o r aː k u
keccuɗo;k e c c u ɗ o
keccum;k e c c u m
kedde;k e d d e
kedde ko waati;k e d d e   k o   w aː t i
keecol;k eː c o l
kuukoy menyoohoy piiroohoy;k uː k o j   m e n j oː h o j   p iː r oː h o j
kuukoy meroohoy;k uː k o j   m e r oː h o j
kuukoy neeninooh;k uː k o j   n eː n i n oː h
kuukoy neeninoohoy;k uː k o j   n eː n i n oː h o j
kuulongol;k uː l o ŋ ɡ o l
kuundal;k uː n d a l
kuungel;k uː ŋ ɡ e l
kuungel menyoowel;k uː ŋ ɡ e l   m e n j oː w e l
kuungu;k uː ŋ ɡ u
kuunyaaje;k uː n j aː ɟ e
kuurgal;k uː r ɡ a l
kuurngu;k uː r ŋ ɡ u
kuutaade;k uː t aː d e
kuutooji;k uː t oː ɟ i
kuutorgal;k uː t o r ɡ a l
kuuwgal;k uː w ɡ a l
kuyam;k u j a m
kuyfinol;k u j f i n o l
kuyfuɗo;k u j f u ɗ o
kuyyal;k u j j a l
la'aade;l a ʔ aː d e
la'aare;l a ʔ aː r e
la’aaje;l a ’ aː ɟ e
la’aare;l a ’ aː r e
la’aare kaddule;l a ’ aː r e   k a d d u l e
la’aare nyaamndu;l a ’ aː r e   n j aː m n d u
la’aare tergal;l a ’ aː r e   t e r ɡ a l
laabi1;l aː b i 1
laabi2;l aː b i 2
laabi kumpitirɗi;l aː b i   k u m p i t i r ɗ i
laabuujo;l aː b uː ɟ o
laaɓal;l aː ɓ a l
laaɓi;l aː ɓ i
laaɓinde;l aː ɓ i n d e
laaɓingol;l aː ɓ i ŋ ɡ o l
laaɓinirde safaare;l aː ɓ i n i r d e   s a f aː r e
laaɓinirgol;l aː ɓ i n i r ɡ o l
laaɓitinannde;l aː ɓ i t i n a n n d e
laaɓngal;l aː ɓ ŋ ɡ a l
laaɓnude;l aː ɓ n u d e
laaɓude;l aː ɓ u d e
laaɓuɗo;l aː ɓ u ɗ o
laaɓuka;l aː ɓ u k a
laaɓungu;l aː ɓ u ŋ ɡ u
laahude;l aː h u d e
la'aade;l a ʔ aː d e
la'aare;l a ʔ aː r e
la’aaje;l a ’ aː ɟ e
la’aare;l a ’ aː r e
la’aare kaddule;l a ’ aː r e   k a d d u l e
la’aare nyaamndu;l a ’ aː r e   n j aː m n d u
la’aare tergal;l a ’ aː r e   t e r ɡ a l
laabi1;l aː b i 1
laabi2;l aː b i 2
laabi kumpitirɗi;l aː b i   k u m p i t i r ɗ i
laabuujo;l aː b uː ɟ o
laaɓal;l aː ɓ a l
laaɓi;l aː ɓ i
laaɓinde;l aː ɓ i n d e
laaɓingol;l aː ɓ i ŋ ɡ o l
laaɓinirde safaare;l aː ɓ i n i r d e   s a f aː r e
laaɓinirgol;l aː ɓ i n i r ɡ o l
laaɓitinannde;l aː ɓ i t i n a n n d e
laaɓngal;l aː ɓ ŋ ɡ a l
laaɓnude;l aː ɓ n u d e
laaɓude;l aː ɓ u d e
laaɓuɗo;l aː ɓ u ɗ o
laaɓuka;l aː ɓ u k a
laaɓungu;l aː ɓ u ŋ ɡ u
laahude;l aː h u d e
laakara;l aː k a r a
laalaade;l aː l aː d e
laalagal1;l aː l a ɡ a l 1
laalagal2;l aː l a ɡ a l 2
laalagal hoore;l aː l a ɡ a l   h oː r e
laalentu;l aː l e n t u
laaliiɗo;l aː l iː ɗ o
laalo;l aː l o
laaltindaade;l aː l t i n d aː d e
laalu;l aː l u
laamaade;l aː m aː d e
laamagol;l aː m a ɡ o l
laamɗaaku;l aː m ɗ aː k u
Laamɗo;l aː m ɗ o
laameede;l aː m eː d e
laamiiɗo;l aː m iː ɗ o
laamiiɗo ndoolɗoowo;l aː m iː ɗ o   n d oː l ɗ oː w o
laamingol;l aː m i ŋ ɡ o l
laaminirgol;l aː m i n i r ɡ o l
laamnirde;l aː m n i r d e
laamnude;l aː m n u d e
laamondirgol;l aː m o n d i r ɡ o l
laamoore;l aː m oː r e
laamorde1;l aː m o r d e 1
laamorde2;l aː m o r d e 2
laamorde woto;l aː m o r d e   w o t o
laamu;l aː m u
laamu anndani;l aː m u   a n n d a n i
laamu battaa en;l aː m u   b a t t aː   e n
laamu depitee en;l aː m u   d e p i t eː   e n
laamu haɓɓondirngu e gosugol;l aː m u   h a ɓ ɓ o n d i r ŋ ɡ u   e   ɡ o s u ɡ o l
laamu jiimu;l aː m u   ɟ iː m u
laamu leydi;l aː m u   l e j d i
laamu ngu senndaako;l aː m u   ŋ ɡ u   s e n n d aː k o
laamuwa;l aː m u w a
laamuyel;l aː m u j e l
laana;l aː n a
laana ndiyam;l aː n a   n d i j a m
laanye;l aː n j e
laaraaf;l aː r aː f
Laarabuujo;l aː r a b uː ɟ o
laaruwal;l aː r u w a l
laasara;l aː s a r a
laasi;l aː s i
laasindagol;l aː s i n d a ɡ o l
laataade;l aː t aː d e
laataade baaliki;l aː t aː d e   b aː l i k i
laatanaade;l aː t a n aː d e
laati pay;l aː t i   p a j
laati waajibi gonuɗo;l aː t i   w aː ɟ i b i   ɡ o n u ɗ o
laawa;l aː w a
laawel;l aː w e l
laawi laabi kumpitirɗi;l aː w i   l aː b i   k u m p i t i r ɗ i
laawol1;l aː w o l 1
laawol2;l aː w o l 2
laawol3;l aː w o l 3
laawol cakkorgol;l aː w o l   c a k k o r ɡ o l
laawol daaɓirgol;l aː w o l   d aː ɓ i r ɡ o l
laawol gollal;l aː w o l   ɡ o l l a l
laawol gollirteengol hannden;l aː w o l   ɡ o l l i r t eː ŋ ɡ o l   h a n n d e n
laawol ittirgol saɗɗa;l aː w o l   i t t i r ɡ o l   s a ɗ ɗ a
laawol jannginirgol mawɓe;l aː w o l   ɟ a n ŋ ɡ i n i r ɡ o l   m a w ɓ e
laawol laamu potondiral;l aː w o l   l aː m u   p o t o n d i r a l
laawol Makka;l aː w o l   m a k k a
laawol ndiyam1;l aː w o l   n d i j a m 1
laawol ndiyam2;l aː w o l   n d i j a m 2
laawol ngol laamu anndani;l aː w o l   ŋ ɡ o l   l aː m u   a n n d a n i
laawol sariya;l aː w o l   s a r i j a
laawol sariya bonnde;l aː w o l   s a r i j a   b o n n d e
laawol sariya gollirteengol;l aː w o l   s a r i j a   ɡ o l l i r t eː ŋ ɡ o l
laawol sariya siwil;l aː w o l   s a r i j a   s i w i l
laay;l aː j
laayooru;l aː j oː r u
labal;l a b a l
labangal;l a b a ŋ ɡ a l
labbel-fowru;l a b b e l - f o w r u
labbo1;l a b b o 1
labbo2;l a b b o 2
labuure;l a b uː r e
laɓaade;l a ɓ aː d e
laɓeede;l a ɓ eː d e
laɓi;l a ɓ i
laɓndal;l a ɓ n d a l
laɓndol;l a ɓ n d o l
laɓude;l a ɓ u d e
laccel;l a c c e l
lacciri;l a c c i r i
lacol;l a c o l
ladawal;l a d a w a l
ladde;l a d d e
ladde ɓaleere;l a d d e   ɓ a l eː r e
ladde faddaande;l a d d e   f a d d aː n d e
ladde sukkunde;l a d d e   s u k k u n d e
ladde yaynunde;l a d d e   j a j n u n d e
laddeejo;l a d d eː ɟ o
laddeeru;l a d d eː r u
ladude;l a d u d e
lagaade;l a ɡ aː d e
lagataare;l a ɡ a t aː r e
laginde;l a ɡ i n d e
lah;l a h
lahaade;l a h aː d e
Lahel Buraagi;l a h e l   b u r aː ɡ i
lakkiri;l a k k i r i
lalgaare;l a l ɡ aː r e
lalindaade;l a l i n d aː d e
lalindo;l a l i n d o
lalle;l a l l e
lallere;l a l l e r e
lallere doolɗaande;l a l l e r e   d oː l ɗ aː n d e
lallinde;l a l l i n d e
lallineede;l a l l i n eː d e
lallude;l a l l u d e
laluwaa;l a l u w aː
lamɗam;l a m ɗ a m
lamɗam ngonduɗam yoodi;l a m ɗ a m   ŋ ɡ o n d u ɗ a m   j oː d i
lamɗam-dimam;l a m ɗ a m - d i m a m
lamel;l a m e l
lamlam;l a m l a m
lammba;l a m m b a
lammbirgal;l a m m b i r ɡ a l
lammere;l a m m e r e
lamminde;l a m m i n d e
lammingol;l a m m i ŋ ɡ o l
lammude;l a m m u d e
lammuɗam;l a m m u ɗ a m
lamndaade;l a m n d aː d e
lamndal;l a m n d a l
lamndanaade;l a m n d a n aː d e
Lamndo;l a m n d o
lamndol;l a m n d o l
lampal;l a m p a l
lampo;l a m p o
lamru;l a m r u
lamsinde;l a m s i n d e
lamsude;l a m s u d e
langal;l a ŋ ɡ a l
langal hinere;l a ŋ ɡ a l   h i n e r e
lankana;l a n k a n a
lanngol;l a n ŋ ɡ o l
lannyere;l a n n j e r e
lantigaaru;l a n t i ɡ aː r u
lanyol;l a n j o l
lanyude;l a n j u d e
lanyugol;l a n j u ɡ o l
laral leydi;l a r a l   l e j d i
larɗude;l a r ɗ u d e
laru;l a r u
larwaade;l a r w aː d e
laso;l a s o
lasooji ɗiɗi;l a s oː ɟ i   ɗ i ɗ i
lasooji nay;l a s oː ɟ i   n a j
lasooji nay e sappo;l a s oː ɟ i   n a j   e   s a p p o
lasooji tati;l a s oː ɟ i   t a t i
lasooji tati e sappo;l a s oː ɟ i   t a t i   e   s a p p o
latikolo;l a t i k o l o
latikoro;l a t i k o r o
latude;l a t u d e
law;l a w
lawju;l a w ɟ u
lawnyi;l a w n j i
lawre;l a w r e
lawru;l a w r u
lawƴirgal;l a w ʔʲ i r ɡ a l
lawƴude;l a w ʔʲ u d e
lawƴugol kaake;l a w ʔʲ u ɡ o l   k aː k e
layɓirgol;l a j ɓ i r ɡ o l
layɓude;l a j ɓ u d e
laygaare;l a j ɡ aː r e
layndi;l a j n d i
layol;l a j o l
layre;l a j r e
laytaade;l a j t aː d e
laytal;l a j t a l
laytanaade;l a j t a n aː d e
layude;l a j u d e
Layya;l a j j a
layyaade;l a j j aː d e
layyaari;l a j j aː r i
layyaaru;l a j j aː r u
laƴude;l a ʔʲ u d e
le;l e
le'al;l e ʔ a l
le'al hoore;l e ʔ a l   h oː r e
le'al yitere;l e ʔ a l   j i t e r e
lebbi;l e b b i
leɗɗe;l e ɗ ɗ e
leɗɗe cecce cakkorɗe henndu;l e ɗ ɗ e   c e c c e   c a k k o r ɗ e   h e n n d u
leɗɗe ladde;l e ɗ ɗ e   l a d d e
Lee'a;l eː ʔ a
leeɓi;l eː ɓ i
leeɓi foondu;l eː ɓ i   f oː n d u
leeɓol;l eː ɓ o l
leeɓude;l eː ɓ u d e
leegude;l eː ɡ u d e
leekere;l eː k e r e
leekude;l eː k u d e
leelaade;l eː l aː d e
leelawal;l eː l a w a l
leembol;l eː m b o l
leembol nawki;l eː m b o l   n a w k i
leembol yitere;l eː m b o l   j i t e r e
leemburu;l eː m b u r u
leemburuuhi;l eː m b u r uː h i
leemol-yitere;l eː m o l - j i t e r e
leeptaade;l eː p t aː d e
leer;l eː r
leesɗin-a;l eː s ɗ i n - a
leeso;l eː s o
leesude;l eː s u d e
leetaade;l eː t aː d e
leeteere;l eː t eː r e
leetere;l eː t e r e
leeyndu;l eː j n d u
leeƴinaade;l eː ʔʲ i n aː d e
leeƴinaare;l eː ʔʲ i n aː r e
leeƴinde;l eː ʔʲ i n d e
leeƴineede;l eː ʔʲ i n eː d e
leeƴinkinaade;l eː ʔʲ i n k i n aː d e
leeƴinnde;l eː ʔʲ i n n d e
lefol;l e f o l
lefol laamu;l e f o l   l aː m u
lefol nate;l e f o l   n a t e
leforowol;l e f o r o w o l
leggal;l e ɡ ɡ a l
luumdol;l uː m d o l
luumnude;l uː m n u d e
luumo;l uː m o
luumo maccungaaku;l uː m o   m a c c u ŋ ɡ aː k u
luumo mawngo;l uː m o   m a w ŋ ɡ o
luumoojo;l uː m oː ɟ o
luural;l uː r a l
luurde;l uː r d e
luure;l uː r e
luureede;l uː r eː d e
luuro1;l uː r o 1
luuro2;l uː r o 2
luuro ƴi'al kataare;l uː r o   ʔʲ i ʔ a l   k a t aː r e
luuro-allamaaho;l uː r o - a l l a m aː h o
luurude;l uː r u d e
luusi;l uː s i
luusiijo;l uː s iː ɟ o
luusin;l uː s i n
luutuɗo e leydi;l uː t u ɗ o   e   l e j d i
luwaa;l u w aː
luwal;l u w a l
luwal hoore;l u w a l   h oː r e
luwral;l u w r a l
luwude;l u w u d e
luy;l u j
ma;m a
maa1;m aː 1
maa2;m aː 2
maabo;m aː b o
maabuujo;m aː b uː ɟ o
maadi1;m aː d i 1
maadi2;m aː d i 2
maadi konngol;m aː d i   k o n ŋ ɡ o l
maaɗa;m aː ɗ a
maafe;m aː f e
maamiiwo;m aː m iː w o
maamiraaɓe;m aː m i r aː ɓ e
maamiyo debbo;m aː m i j o   d e b b o
maamiyo gorko;m aː m i j o   ɡ o r k o
maanaa;m aː n aː
maanaa gooto;m aː n aː   ɡ oː t o
maanaaje;m aː n aː ɟ e
maanaare;m aː n aː r e
maanda;m aː n d a
maanda annditiirɗo;m aː n d a   a n n d i t iː r ɗ o
maanda sawto;m aː n d a   s a w t o
maanda sinyatiiri;m aː n d a   s i n j a t iː r i
maandaa;m aː n d aː
maandaa ciinal;m aː n d aː   c iː n a l
maandaa dow adadu;m aː n d aː   d o w   a d a d u
ma;m a
maa1;m aː 1
maa2;m aː 2
maabo;m aː b o
maabuujo;m aː b uː ɟ o
maadi1;m aː d i 1
maadi2;m aː d i 2
maadi konngol;m aː d i   k o n ŋ ɡ o l
maaɗa;m aː ɗ a
maafe;m aː f e
maamiiwo;m aː m iː w o
maamiraaɓe;m aː m i r aː ɓ e
maamiyo debbo;m aː m i j o   d e b b o
maamiyo gorko;m aː m i j o   ɡ o r k o
maanaa;m aː n aː
maanaa gooto;m aː n aː   ɡ oː t o
maanaaje;m aː n aː ɟ e
maanaare;m aː n aː r e
maanda;m aː n d a
maanda annditiirɗo;m aː n d a   a n n d i t iː r ɗ o
maanda sawto;m aː n d a   s a w t o
maanda sinyatiiri;m aː n d a   s i n j a t iː r i
maandaa;m aː n d aː
maandaa ciinal;m aː n d aː   c iː n a l
maandaa dow adadu;m aː n d aː   d o w   a d a d u
maandaa dow wawtu;m aː n d aː   d o w   w a w t u
maandaa goonɗingol;m aː n d aː   ɡ oː n ɗ i ŋ ɡ o l
maandaa keeraaɗo;m aː n d aː   k eː r aː ɗ o
maandaa mo heeraaka;m aː n d aː   m o   h eː r aː k a
maandaa nokku;m aː n d aː   n o k k u
maande1;m aː n d e 1
maande2;m aː n d e 2
maande seerndirde;m aː n d e   s eː r n d i r d e
maande tampon;m aː n d e   t a m p o n
maande toɓɓirde;m aː n d e   t o ɓ ɓ i r d e
maandinal;m aː n d i n a l
maandinde;m aː n d i n d e
maandingol1;m aː n d i ŋ ɡ o l 1
maandingol2;m aː n d i ŋ ɡ o l 2
maandinooje;m aː n d i n oː ɟ e
maandinoore;m aː n d i n oː r e
maanditingol;m aː n d i t i ŋ ɡ o l
maandol;m aː n d o l
maani;m aː n i
maaninnde;m aː n i n n d e
maantaade;m aː n t aː d e
maantalla;m aː n t a l l a
maantinirɗum sawto;m aː n t i n i r ɗ u m   s a w t o
maantotooɗo;m aː n t o t oː ɗ o
maarabu;m aː r a b u
maari;m aː r i
maaro;m aː r o
maaro-pooli;m aː r o - p oː l i
maasa;m aː s a
maasaade;m aː s aː d e
maasaare;m aː s aː r e
Maasinankoore;m aː s i n a n k oː r e
maasinde;m aː s i n d e
maasuuje;m aː s uː ɟ e
maataneede;m aː t a n eː d e
maate-jiile;m aː t e - ɟ iː l e
maate-luuɓngol;m aː t e - l uː ɓ ŋ ɡ o l
maate-meemɗe;m aː t e - m eː m ɗ e
maate-nanɗe;m aː t e - n a n ɗ e
maate-ndakam;m aː t e - n d a k a m
maatude;m aː t u d e
maayde;m aː j d e
maayo;m aː j o
maayo ɓaleewo;m aː j o   ɓ a l eː w o
maayo geesi;m aː j o   ɡ eː s i
Maayo Lamɗam;m aː j o   l a m ɗ a m
maayo mawngo;m aː j o   m a w ŋ ɡ o
maayo raneewo;m aː j o   r a n eː w o
maayraaɗo deekum;m aː j r aː ɗ o   d eː k u m
maayraaɗo gorum;m aː j r aː ɗ o   ɡ o r u m
maayude;m aː j u d e
maɓɓe;m a ɓ ɓ e
maɓɓude;m a ɓ ɓ u d e
maccuɗo;m a c c u ɗ o
maccungaaku;m a c c u ŋ ɡ aː k u
maccungaku;m a c c u ŋ ɡ a k u
madarasa;m a d a r a s a
magasen;m a ɡ a s e n
mahirde potiije;m a h i r d e   p o t iː ɟ e
mahngo binndannɗe;m a h ŋ ɡ o   b i n n d a n n ɗ e
mahngo kelme;m a h ŋ ɡ o   k e l m e
mahngo konngi;m a h ŋ ɡ o   k o n ŋ ɡ i
mahngo konngol;m a h ŋ ɡ o   k o n ŋ ɡ o l
mahoowo;m a h oː w o
mahoowo potiije;m a h oː w o   p o t iː ɟ e
mahude;m a h u d e
majala;m a ɟ a l a
majjere;m a ɟ ɟ e r e
majjude;m a ɟ ɟ u d e
makari;m a k a r i
Makka;m a k k a
makkaal;m a k k aː l
makkitaade;m a k k i t aː d e
makko;m a k k o
makkude;m a k k u d e
makkudi;m a k k u d i
maksuuje;m a k s uː ɟ e
malaganndiire;m a l a ɡ a n n d iː r e
Malakiya;m a l a k i j a
malal;m a l a l
maleede;m a l eː d e
maleyka;m a l e j k a
malfa;m a l f a
malfaare;m a l f aː r e
malliɗinde;m a l l i ɗ i n d e
malmalluure;m a l m a l l uː r e
malsinde;m a l s i n d e
mamaruwol;m a m a r u w o l
mamasiiru;m a m a s iː r u
mammalluure;m a m m a l l uː r e
mana;m a n a
mana gatteteeɗo ley hinere faa nyaamniree;m a n a   ɡ a t t e t eː ɗ o   l e j   h i n e r e   f aː   n j aː m n i r eː
mancabiihi;m a n c a b iː h i
maneede;m a n eː d e
mangasan;m a ŋ ɡ a s a n
manii;m a n iː
mankisi;m a n k i s i
manna;m a n n a
manndaa dow nokku;m a n n d aː   d o w   n o k k u
manndaade;m a n n d aː d e
manndinde;m a n n d i n d e
manndinooje;m a n n d i n oː ɟ e
manngaaku;m a n ŋ ɡ aː k u
manngal;m a n ŋ ɡ a l
mannganeesi;m a n ŋ ɡ a n eː s i
manngo;m a n ŋ ɡ o
manngoro;m a n ŋ ɡ o r o
manngoroohi;m a n ŋ ɡ o r oː h i
manngorooho;m a n ŋ ɡ o r oː h o
manngoroore;m a n ŋ ɡ o r oː r e
manngu;m a n ŋ ɡ u
manooje;m a n oː ɟ e
manoore;m a n oː r e
mansinde;m a n s i n d e
mantaade;m a n t aː d e
mantaare;m a n t aː r e
mantude1;m a n t u d e 1
mantude2;m a n t u d e 2
manude;m a n u d e
mappude;m a p p u d e
maraaɗo1;m a r aː ɗ o 1
maraaɗo2;m a r aː ɗ o 2
maraawa;m a r aː w a
maral piirooje;m a r a l   p iː r oː ɟ e
maramalluure;m a r a m a l l uː r e
maranata;m a r a n a t a
mardi;m a r d i
mareede;m a r eː d e
marhabaa;m a r h a b aː
Marku;m a r k u
marto;m a r t o
martoo;m a r t oː
martude;m a r t u d e
marucaaku;m a r u c aː k u
marude;m a r u d e
marugol;m a r u ɡ o l
masal;m a s a l
masal daɓɓal;m a s a l   d a ɓ ɓ a l
masal junngal;m a s a l   ɟ u n ŋ ɡ a l
masal ngal nyonndaaka;m a s a l   ŋ ɡ a l   n j o n n d aː k a
masal nydninaangal;m a s a l   n j d n i n aː ŋ ɡ a l
masalan;m a s a l a n
masara;m a s a r a
masarakemmbu;m a s a r a k e m m b u
Masedoni;m a s e d o n i
masiiba;m a s iː b a
masiiba mawɗo;m a s iː b a   m a w ɗ o
masimbinde;m a s i m b i n d e
masimbineede;m a s i m b i n eː d e
masin;m a s i n
masin dewte;m a s i n   d e w t e
masin niisoowo;m a s i n   n iː s oː w o
masin ƴeptoowo ko teddi;m a s i n   ʔʲ e p t oː w o   k o   t e d d i
masinaaji binndooji;m a s i n aː ɟ i   b i n n d oː ɟ i
masiŋ kiisorɗo;m a s i ŋ   k iː s o r ɗ o
mason;m a s o n
masoore;m a s oː r e
matala;m a t a l a
mati;m a t i
Matta;m a t t a
mawɗo;m a w ɗ o
Mawɗo;m a w ɗ o
mawɗo tiribinal;m a w ɗ o   t i r i b i n a l
mawnga-ladde;m a w ŋ ɡ a - l a d d e
mawngu;m a w ŋ ɡ u
mawniiwo;m a w n iː w o
mawnin-a;m a w n i n - a
mawninde;m a w n i n d e
mawnineede;m a w n i n eː d e
mawninkinaade;m a w n i n k i n aː d e
mawniraagu;m a w n i r aː ɡ u
mawnitaade;m a w n i t aː d e
mawnitaare;m a w n i t aː r e
mawnitiiɗo;m a w n i t iː ɗ o
mawnoo;m a w n oː
mawnude;m a w n u d e
mawnugol;m a w n u ɡ o l
mawtuuri;m a w t uː r i
mawuuri;m a w uː r i
maybinde;m a j b i n d e
maybineede;m a j b i n eː d e
maybude;m a j b u d e
mayde;m a j d e
mayɗo;m a j ɗ o
maymaytude;m a j m a j t u d e
maysinde;m a j s i n d e
maysingol;m a j s i ŋ ɡ o l
maytaade;m a j t aː d e
maytagol;m a j t a ɡ o l
maytitaade;m a j t i t aː d e
mayto;m a j t o
maƴƴere;m a ʔʲ ʔʲ e r e
maƴƴude;m a ʔʲ ʔʲ u d e
maƴƴugol;m a ʔʲ ʔʲ u ɡ o l
mbaadi;m b aː d i
mbaadi jogola jawdi leydewgal;m b aː d i   ɟ o ɡ o l a   ɟ a w d i   l e j d e w ɡ a l
mbaadi-terɗe;m b aː d i - t e r ɗ e
mbaakinaaɗum;m b aː k i n aː ɗ u m
mbaala;m b aː l a
mbaalanndiri;m b aː l a n n d i r i
mbaali;m b aː l i
mbaalu;m b aː l u
mbaalu-yitere;m b aː l u - j i t e r e
mbaansu;m b aː n s u
mbaawaaɗo suɓeede;m b aː w aː ɗ o   s u ɓ eː d e
mbaɓatu;m b a ɓ a t u
mbaɓɓattu;m b a ɓ ɓ a t t u
mbaccataakoowa;m b a c c a t aː k oː w a
mbaccotoonga;m b a c c o t oː ŋ ɡ a
mbadaadi;m b a d aː d i
mbaddrii;m b a d d r iː
mbadullaahi;m b a d u l l aː h i
mbaggu;m b a ɡ ɡ u
mbaggu-bojel;m b a ɡ ɡ u - b o ɟ e l
mbakkoroori;m b a k k o r oː r i
mbaliihi;m b a l iː h i
mbalku;m b a l k u
mballa;m b a l l a
mballa hende e neema;m b a l l a   h e n d e   e   n eː m a
mballa kaane ɓii-aadama;m b a l l a   k aː n e   ɓ iː - aː d a m a
mballa ley golle bonɗe;m b a l l a   l e j   ɡ o l l e   b o n ɗ e
mballitaari;m b a l l i t aː r i
mballondiral;m b a l l o n d i r a l
mballondiral ɓiɓɓe leydi;m b a l l o n d i r a l   ɓ i ɓ ɓ e   l e j d i
mbamambi;m b a m a m b i
muusuuru ladde1;m uː s uː r u   l a d d e 1
muusuuru ladde2;m uː s uː r u   l a d d e 2
muusuwel leydi;m uː s u w e l   l e j d i
muutiri;m uː t i r i
muuyande;m uː j a n d e
muuyantaaku;m uː j a n t aː k u
muuyɗe;m uː j ɗ e
muuyɗe bonɗe;m uː j ɗ e   b o n ɗ e
muuynaade;m uː j n aː d e
muuyude;m uː j u d e
muymuytude;m u j m u j t u d e
muyninde;m u j n i n d e
muyningol;m u j n i ŋ ɡ o l
muyninirgol biberon;m u j n i n i r ɡ o l   b i b e r o n
muyninnde;m u j n i n n d e
muynude;m u j n u d e
muynugol;m u j n u ɡ o l
muytude;m u j t u d e
na;n a
na a;n a   a
na ɓe;n a   ɓ e
na en;n a   e n
na hen;n a   h e n
na laatoo;n a   l aː t oː
na mi;n a   m i
na min;n a   m i n
na o;n a   o
na on;n a   o n
na'i;n a ʔ i
naa;n aː
naace;n aː c e
naaddude;n aː d d u d e
naadiri;n aː d i r i
naaɗaade;n aː ɗ aː d e
naafikaade;n aː f i k aː d e
naafikaare;n aː f i k aː r e
naahu;n aː h u
naalaade;n aː l aː d e
naalaaku;n aː l aː k u
naam;n aː m
naamnal;n aː m n a l
naana;n aː n a
naanaande;n aː n aː n d e
na;n a
na a;n a   a
na ɓe;n a   ɓ e
na en;n a   e n
na hen;n a   h e n
na laatoo;n a   l aː t oː
na mi;n a   m i
na min;n a   m i n
na o;n a   o
na on;n a   o n
na'i;n a ʔ i
naa;n aː
naace;n aː c e
naaddude;n aː d d u d e
naadiri;n aː d i r i
